alpha b0 d sigma tau Gmean Gstd
1.6 1.249 1 0.5 5 0.0561134 0.0183487
1.6 1.249 1 0.5 5.5 0.0544311 0.019249

1.7 1.249 1 0.5 0 0.0838934 0.000451857
1.7 1.249 1 0.5 0.5 0.0719715 0.00527237
1.7 1.249 1 0.5 1 0.0644909 0.0077413
1.7 1.249 1 0.5 1.5 0.0613438 0.00948517
1.7 1.249 1 0.5 2 0.0586076 0.0110024
1.7 1.249 1 0.5 2.5 0.0573562 0.0124725
1.7 1.249 1 0.5 3 0.0557061 0.0130457
1.7 1.249 1 0.5 3.5 0.054905 0.0152118
1.7 1.249 1 0.5 4 0.0542248 0.0163737
1.7 1.249 1 0.5 4.5 0.0540145 0.0164157
1.7 1.249 1 0.5 5 0.0533348 0.0175862
1.7 1.249 1 0.5 5.5 0.0537321 0.0189913

1.8 1.249 1 0.5 0 0.0808235 0.000455809
1.8 1.249 1 0.5 0.5 0.0700528 0.00491865
1.8 1.249 1 0.5 1 0.0629931 0.00761826
1.8 1.249 1 0.5 1.5 0.058337 0.00906165
1.8 1.249 1 0.5 2 0.0566554 0.010854
1.8 1.249 1 0.5 2.5 0.0547011 0.0119559
1.8 1.249 1 0.5 3 0.053775 0.0132359
1.8 1.249 1 0.5 3.5 0.0524512 0.0150295
1.8 1.249 1 0.5 4 0.053122 0.0149773
1.8 1.249 1 0.5 4.5 0.0520898 0.0156951
1.8 1.249 1 0.5 5 0.0512481 0.0166405
1.8 1.249 1 0.5 5.5 0.051178 0.0176955

1.9 1.249 1 0.5 0 0.077941 0.000453874
1.9 1.249 1 0.5 0.5 0.0682067 0.00475697
1.9 1.249 1 0.5 1 0.0605112 0.00711147
1.9 1.249 1 0.5 1.5 0.0569247 0.00890401
1.9 1.249 1 0.5 2 0.0541007 0.0102143
1.9 1.249 1 0.5 2.5 0.0533395 0.011873
1.9 1.249 1 0.5 3 0.0517921 0.0124004
1.9 1.249 1 0.5 3.5 0.0513233 0.0141975
1.9 1.249 1 0.5 4 0.0500979 0.0156798
1.9 1.249 1 0.5 4.5 0.0498227 0.0160366
1.9 1.249 1 0.5 5 0.048465 0.0173444
1.9 1.249 1 0.5 5.5 0.0476816 0.0186515

2 1.249 1 0.5 0 0.075279 0.000442894
2 1.249 1 0.5 0.5 0.0658007 0.00436286
2 1.249 1 0.5 1 0.0591741 0.00664154
2 1.249 1 0.5 1.5 0.0548758 0.00851662
2 1.249 1 0.5 2 0.0522267 0.00990495
2 1.249 1 0.5 2.5 0.0511256 0.0115572
2 1.249 1 0.5 3 0.0503878 0.012555
2 1.249 1 0.5 3.5 0.0490694 0.0136722
2 1.249 1 0.5 4 0.0482977 0.0140973
2 1.249 1 0.5 4.5 0.047171 0.0154234
2 1.249 1 0.5 5 0.0474661 0.0162277
2 1.249 1 0.5 5.5 0.0466151 0.0173818

2.1 1.249 1 0.5 0 0.0728201 0.000429475
2.1 1.249 1 0.5 0.5 0.0638695 0.00449373
2.1 1.249 1 0.5 1 0.0572491 0.00656771
2.1 1.249 1 0.5 1.5 0.0535662 0.00816569
2.1 1.249 1 0.5 2 0.0514247 0.00932884
2.1 1.249 1 0.5 2.5 0.0484573 0.0112326
2.1 1.249 1 0.5 3 0.0479103 0.0122682
2.1 1.249 1 0.5 3.5 0.0465587 0.0131222
2.1 1.249 1 0.5 4 0.0465342 0.0139287
2.1 1.249 1 0.5 4.5 0.0462979 0.0144724
2.1 1.249 1 0.5 5 0.0459052 0.0154422
2.1 1.249 1 0.5 5.5 0.0450134 0.0165192

2.2 1.249 1 0.5 0 0.0705137 0.000434393
2.2 1.249 1 0.5 0.5 0.061909 0.00436568
2.2 1.249 1 0.5 1 0.0555933 0.00603103
2.2 1.249 1 0.5 1.5 0.0519709 0.0075646
2.2 1.249 1 0.5 2 0.0492756 0.00938887
2.2 1.249 1 0.5 2.5 0.0469935 0.0104739
2.2 1.249 1 0.5 3 0.0468544 0.0116743
2.2 1.249 1 0.5 3.5 0.0456561 0.012341
2.2 1.249 1 0.5 4 0.0450845 0.0138772
2.2 1.249 1 0.5 4.5 0.0441075 0.0148242
2.2 1.249 1 0.5 5 0.0438909 0.0153784
2.2 1.249 1 0.5 5.5 0.0428756 0.0162373

2.3 1.249 1 0.5 0 0.0682916 0.000457023
2.3 1.249 1 0.5 0.5 0.0603807 0.00410044
2.3 1.249 1 0.5 1 0.054245 0.00616605
2.3 1.249 1 0.5 1.5 0.0497973 0.00761529
2.3 1.249 1 0.5 2 0.0480178 0.0086797
2.3 1.249 1 0.5 2.5 0.0466808 0.00986821
2.3 1.249 1 0.5 3 0.0453175 0.0117513
2.3 1.249 1 0.5 3.5 0.0446313 0.012485
2.3 1.249 1 0.5 4 0.0435923 0.0134486
2.3 1.249 1 0.5 4.5 0.043032 0.0146287
2.3 1.249 1 0.5 5 0.0428517 0.0161318
2.3 1.249 1 0.5 5.5 0.0414321 0.0161515

2.4 1.249 1 0.5 0 0.0662722 0.000431945
2.4 1.249 1 0.5 0.5 0.0587518 0.00394337
2.4 1.249 1 0.5 1 0.0528047 0.0057752
2.4 1.249 1 0.5 1.5 0.0490683 0.00735413
2.4 1.249 1 0.5 2 0.0466746 0.0091116
2.4 1.249 1 0.5 2.5 0.0447734 0.0102415
2.4 1.249 1 0.5 3 0.0435661 0.0112241
2.4 1.249 1 0.5 3.5 0.0427941 0.0123566
2.4 1.249 1 0.5 4 0.0424313 0.0130093
2.4 1.249 1 0.5 4.5 0.0409539 0.0138396
2.4 1.249 1 0.5 5 0.0412448 0.0143043
2.4 1.249 1 0.5 5.5 0.0401658 0.0153618

2.5 1.249 1 0.5 0 0.0643442 0.00042874
2.5 1.249 1 0.5 0.5 0.0572461 0.0040851
2.5 1.249 1 0.5 1 0.0516474 0.00572752
2.5 1.249 1 0.5 1.5 0.0481569 0.00704283
2.5 1.249 1 0.5 2 0.0455006 0.00865761
2.5 1.249 1 0.5 2.5 0.0436781 0.00952304
2.5 1.249 1 0.5 3 0.0430469 0.0105919
2.5 1.249 1 0.5 3.5 0.0414849 0.0118452
2.5 1.249 1 0.5 4 0.0407438 0.0121972
2.5 1.249 1 0.5 4.5 0.0405788 0.0133821
2.5 1.249 1 0.5 5 0.0399111 0.0138694
2.5 1.249 1 0.5 5.5 0.0391448 0.0142592

2.6 1.249 1 0.5 0 0.0625244 0.000422631
2.6 1.249 1 0.5 0.5 0.055481 0.00368251
2.6 1.249 1 0.5 1 0.0504152 0.00574137
2.6 1.249 1 0.5 1.5 0.0467282 0.00685655
2.6 1.249 1 0.5 2 0.0441114 0.00887609
2.6 1.249 1 0.5 2.5 0.0424991 0.00929816
2.6 1.249 1 0.5 3 0.0412534 0.0102581
2.6 1.249 1 0.5 3.5 0.0403234 0.0113774
2.6 1.249 1 0.5 4 0.0397916 0.0123389
2.6 1.249 1 0.5 4.5 0.0395924 0.0126771
2.6 1.249 1 0.5 5 0.0383619 0.0139305
2.6 1.249 1 0.5 5.5 0.0383248 0.0146544

2.7 1.249 1 0.5 0 0.0607863 0.000440712
2.7 1.249 1 0.5 0.5 0.0545654 0.00385857
2.7 1.249 1 0.5 1 0.0490028 0.00542265
2.7 1.249 1 0.5 1.5 0.0454844 0.00673171
2.7 1.249 1 0.5 2 0.0431938 0.00810017
2.7 1.249 1 0.5 2.5 0.0412164 0.00914368
2.7 1.249 1 0.5 3 0.0402616 0.0104715
2.7 1.249 1 0.5 3.5 0.0392952 0.0109355
2.7 1.249 1 0.5 4 0.0380608 0.0117654
2.7 1.249 1 0.5 4.5 0.038055 0.0132002
2.7 1.249 1 0.5 5 0.0374064 0.0136148
2.7 1.249 1 0.5 5.5 0.0365997 0.0143921

2.8 1.249 1 0.5 0 0.0591694 0.000438878
2.8 1.249 1 0.5 0.5 0.0533272 0.00360577
2.8 1.249 1 0.5 1 0.0476934 0.00517215
2.8 1.249 1 0.5 1.5 0.0441828 0.0069781
2.8 1.249 1 0.5 2 0.0422001 0.00772519
2.8 1.249 1 0.5 2.5 0.040999 0.0088822
2.8 1.249 1 0.5 3 0.0393638 0.00993021
2.8 1.249 1 0.5 3.5 0.0387634 0.0106535
2.8 1.249 1 0.5 4 0.0372463 0.0113153
2.8 1.249 1 0.5 4.5 0.0362196 0.0124254
2.8 1.249 1 0.5 5 0.0372103 0.0129134
2.8 1.249 1 0.5 5.5 0.0356078 0.013905

2.9 1.249 1 0.5 0 0.0576376 0.000436855
2.9 1.249 1 0.5 0.5 0.051858 0.00347194
2.9 1.249 1 0.5 1 0.0467146 0.00518128
2.9 1.249 1 0.5 1.5 0.0435281 0.00643735
2.9 1.249 1 0.5 2 0.0411938 0.00767575
2.9 1.249 1 0.5 2.5 0.040216 0.00821327
2.9 1.249 1 0.5 3 0.03826 0.00945746
2.9 1.249 1 0.5 3.5 0.036753 0.0104115
2.9 1.249 1 0.5 4 0.036583 0.0115867
2.9 1.249 1 0.5 4.5 0.0360032 0.0121611
2.9 1.249 1 0.5 5 0.0355583 0.0129275
2.9 1.249 1 0.5 5.5 0.0356515 0.0139453

3 1.249 1 0.5 0 0.056183 0.000442674
3 1.249 1 0.5 0.5 0.0507102 0.00350215
3 1.249 1 0.5 1 0.0462425 0.00493028
3 1.249 1 0.5 1.5 0.0427998 0.00610238
3 1.249 1 0.5 2 0.0400771 0.00740448
3 1.249 1 0.5 2.5 0.0389327 0.0083489
3 1.249 1 0.5 3 0.0375938 0.0096254
3 1.249 1 0.5 3.5 0.0372143 0.0102515
3 1.249 1 0.5 4 0.0360195 0.0110994
3 1.249 1 0.5 4.5 0.0356364 0.0115344
3 1.249 1 0.5 5 0.034956 0.0127508
3 1.249 1 0.5 5.5 0.0341865 0.0128701

3.1 1.249 1 0.5 0 0.0548059 0.000433054
3.1 1.249 1 0.5 0.5 0.0496328 0.00325067
3.1 1.249 1 0.5 1 0.0451267 0.00476578
3.1 1.249 1 0.5 1.5 0.0414051 0.00596964
3.1 1.249 1 0.5 2 0.0396901 0.00732686
3.1 1.249 1 0.5 2.5 0.0381729 0.00844372
3.1 1.249 1 0.5 3 0.0360976 0.00923872
3.1 1.249 1 0.5 3.5 0.035555 0.00967822
3.1 1.249 1 0.5 4 0.035412 0.010829
3.1 1.249 1 0.5 4.5 0.0344253 0.0110625
3.1 1.249 1 0.5 5 0.0334041 0.0122242
3.1 1.249 1 0.5 5.5 0.0336403 0.0129785

3.2 1.249 1 0.5 0 0.0534785 0.00039773
3.2 1.249 1 0.5 0.5 0.0486348 0.00309077
3.2 1.249 1 0.5 1 0.044168 0.0046632
3.2 1.249 1 0.5 1.5 0.0409715 0.00582214
3.2 1.249 1 0.5 2 0.0390527 0.00687466
3.2 1.249 1 0.5 2.5 0.0368302 0.00791792
3.2 1.249 1 0.5 3 0.0361131 0.00842786
3.2 1.249 1 0.5 3.5 0.0347516 0.00979187
3.2 1.249 1 0.5 4 0.0343557 0.0103574
3.2 1.249 1 0.5 4.5 0.0327666 0.0109652
3.2 1.249 1 0.5 5 0.0329316 0.0116287
3.2 1.249 1 0.5 5.5 0.0323085 0.0126682

3.3 1.249 1 0.5 0 0.0522084 0.000422273
3.3 1.249 1 0.5 0.5 0.0475166 0.00321992
3.3 1.249 1 0.5 1 0.0432598 0.00479999
3.3 1.249 1 0.5 1.5 0.040077 0.00590377
3.3 1.249 1 0.5 2 0.0381821 0.00676182
3.3 1.249 1 0.5 2.5 0.0367225 0.00769963
3.3 1.249 1 0.5 3 0.0353718 0.00884312
3.3 1.249 1 0.5 3.5 0.0348923 0.00956771
3.3 1.249 1 0.5 4 0.0334773 0.0103674
3.3 1.249 1 0.5 4.5 0.0326977 0.0114278
3.3 1.249 1 0.5 5 0.0322552 0.0116263
3.3 1.249 1 0.5 5.5 0.0325132 0.0120336

3.4 1.249 1 0.5 0 0.0510121 0.000443355
3.4 1.249 1 0.5 0.5 0.0465561 0.00313955
3.4 1.249 1 0.5 1 0.0425081 0.00441131
3.4 1.249 1 0.5 1.5 0.0396182 0.00567519
3.4 1.249 1 0.5 2 0.0370085 0.00702908
3.4 1.249 1 0.5 2.5 0.0355713 0.00760937
3.4 1.249 1 0.5 3 0.0345448 0.00835625
3.4 1.249 1 0.5 3.5 0.0339392 0.00915533
3.4 1.249 1 0.5 4 0.0321493 0.0101207
3.4 1.249 1 0.5 4.5 0.0323564 0.0107815
