alpha b0 d sigma tau Gmean Gstd
4.8 1.5 1 1 1 0.0628239 0.00433829
4.8 1.7 1 1 1 0.0857741 0.0032642
4.8 1.9 1 1 1 0.107275 0.00318602

4.9 1.1 1 1 1 -0.00307388 0.00683795
4.9 1.3 1 1 1 0.0327539 0.00496208
4.9 1.5 1 1 1 0.0613239 0.00412242
4.9 1.7 1 1 1 0.0843952 0.0039518
4.9 1.9 1 1 1 0.105114 0.00309282

5 1.1 1 1 1 -0.00371866 0.00695284
5 1.3 1 1 1 0.03267 0.00523926
5 1.5 1 1 1 0.0598535 0.00430169
5 1.7 1 1 1 0.083971 0.00351668
5 1.9 1 1 1 0.103254 0.00309896

5.1 1.1 1 1 1 -0.00244305 0.00659859
5.1 1.3 1 1 1 0.0314869 0.00522495
5.1 1.5 1 1 1 0.0582994 0.00399843
5.1 1.7 1 1 1 0.082309 0.00365137
5.1 1.9 1 1 1 0.102078 0.00307732

5.2 1.1 1 1 1 -0.00248389 0.00577759
5.2 1.3 1 1 1 0.032011 0.00498407
5.2 1.5 1 1 1 0.0587187 0.00379822
5.2 1.7 1 1 1 0.0808661 0.00325434
5.2 1.9 1 1 1 0.100158 0.00281703

5.3 1.1 1 1 1 -0.00155141 0.00716165
5.3 1.3 1 1 1 0.030077 0.0051882
5.3 1.5 1 1 1 0.0585293 0.00298551
5.3 1.7 1 1 1 0.0795692 0.00288598
5.3 1.9 1 1 1 0.0988866 0.00301975

5.4 1.1 1 1 1 -0.00167404 0.00695007
5.4 1.3 1 1 1 0.0306319 0.00470654
5.4 1.5 1 1 1 0.055986 0.00367119
5.4 1.7 1 1 1 0.0786291 0.00311759
5.4 1.9 1 1 1 0.0969546 0.00267546

5.5 1.1 1 1 1 -0.000838187 0.00714678
5.5 1.3 1 1 1 0.0309261 0.00500358
5.5 1.5 1 1 1 0.0556735 0.00393537
5.5 1.7 1 1 1 0.0772277 0.00347341
5.5 1.9 1 1 1 0.095961 0.00282718

5.6 1.1 1 1 1 -0.00140008 0.00738789
5.6 1.3 1 1 1 0.03025 0.00414657
5.6 1.5 1 1 1 0.0551201 0.00364676
5.6 1.7 1 1 1 0.076507 0.00298569
5.6 1.9 1 1 1 0.0945969 0.00242837

5.7 1.1 1 1 1 -0.000935901 0.00684663
5.7 1.3 1 1 1 0.0301615 0.0045607
5.7 1.5 1 1 1 0.0543777 0.00372173
5.7 1.7 1 1 1 0.075738 0.00334374
5.7 1.9 1 1 1 0.0935952 0.00291001

