alpha b0 d sigma tau Gmean Gstd
0.7 1.25 1 0.9 1 0.0547305 0.015798
0.7 1.25 1 0.95 1 0.0436535 0.0170337
0.7 1.25 1 1 1 0.0312629 0.0183215
0.7 1.25 1 1.05 1 0.0183964 0.0192518
0.7 1.25 1 1.1 1 0.00373034 0.0204418
0.7 1.25 1 1.15 1 -0.0122958 0.0218514
0.7 1.25 1 1.2 1 -0.0305005 0.0230052

0.8 1.25 1 0 1 0.128967 -nan
0.8 1.25 1 0.05 1 0.12877 0.000756519
0.8 1.25 1 0.1 1 0.128139 0.00151758
0.8 1.25 1 0.15 1 0.127079 0.00228091
0.8 1.25 1 0.2 1 0.125639 0.00301818
0.8 1.25 1 0.25 1 0.123812 0.00374164
0.8 1.25 1 0.3 1 0.12146 0.00458045
0.8 1.25 1 0.35 1 0.118457 0.00533624
0.8 1.25 1 0.4 1 0.115308 0.00612669
0.8 1.25 1 0.45 1 0.111589 0.0068939
0.8 1.25 1 0.5 1 0.107343 0.00774752
0.8 1.25 1 0.55 1 0.102479 0.00863573
0.8 1.25 1 0.6 1 0.0973536 0.00947302
0.8 1.25 1 0.65 1 0.0914554 0.0103399
0.8 1.25 1 0.7 1 0.0847156 0.0110988
0.8 1.25 1 0.75 1 0.0775799 0.0120674
0.8 1.25 1 0.8 1 0.0694879 0.0132645
0.8 1.25 1 0.85 1 0.0607412 0.0139947
0.8 1.25 1 0.9 1 0.0512552 0.0149287
0.8 1.25 1 0.95 1 0.0406 0.0161552
0.8 1.25 1 1 1 0.0292741 0.0172512
0.8 1.25 1 1.05 1 0.0159806 0.0184767
0.8 1.25 1 1.1 1 0.0017839 0.0193587
0.8 1.25 1 1.15 1 -0.0144331 0.0212038
0.8 1.25 1 1.2 1 -0.0324466 0.0228675

0.9 1.25 1 0 1 0.121721 -nan
0.9 1.25 1 0.05 1 0.121522 0.000703694
0.9 1.25 1 0.1 1 0.120943 0.0014295
0.9 1.25 1 0.15 1 0.120002 0.0021361
0.9 1.25 1 0.2 1 0.118668 0.00288
0.9 1.25 1 0.25 1 0.116821 0.00361068
0.9 1.25 1 0.3 1 0.114621 0.00438139
0.9 1.25 1 0.35 1 0.112043 0.00503774
0.9 1.25 1 0.4 1 0.109051 0.00582298
0.9 1.25 1 0.45 1 0.105422 0.00663124
0.9 1.25 1 0.5 1 0.101357 0.00735926
0.9 1.25 1 0.55 1 0.0970501 0.00816197
0.9 1.25 1 0.6 1 0.0920959 0.00896143
0.9 1.25 1 0.65 1 0.0864608 0.00977246
0.9 1.25 1 0.7 1 0.0803375 0.0106403
0.9 1.25 1 0.75 1 0.0734941 0.0114944
0.9 1.25 1 0.8 1 0.065992 0.0123887
0.9 1.25 1 0.85 1 0.0576578 0.0132654
0.9 1.25 1 0.9 1 0.048398 0.0141266
0.9 1.25 1 0.95 1 0.0385214 0.0154491
0.9 1.25 1 1 1 0.0272779 0.0163885
0.9 1.25 1 1.05 1 0.0150215 0.0178544
0.9 1.25 1 1.1 1 0.000984272 0.0189157
0.9 1.25 1 1.15 1 -0.0146454 0.0203928
0.9 1.25 1 1.2 1 -0.0323138 0.0217186

1 1.25 1 0 1 0.115265 -nan
1 1.25 1 0.05 1 0.115076 0.000667324
1 1.25 1 0.1 1 0.114525 0.00133427
1 1.25 1 0.15 1 0.113637 0.00202468
1 1.25 1 0.2 1 0.112413 0.00273514
1 1.25 1 0.25 1 0.110683 0.003387
1 1.25 1 0.3 1 0.108625 0.00403879
1 1.25 1 0.35 1 0.106226 0.00472398
1 1.25 1 0.4 1 0.10339 0.00553525
1 1.25 1 0.45 1 0.100089 0.00623928
1 1.25 1 0.5 1 0.0964738 0.00688584
1 1.25 1 0.55 1 0.0921206 0.00776541
1 1.25 1 0.6 1 0.087563 0.00841354
1 1.25 1 0.65 1 0.0823485 0.0090883
1 1.25 1 0.7 1 0.0763709 0.0100393
1 1.25 1 0.75 1 0.0697848 0.0108445
1 1.25 1 0.8 1 0.0631455 0.0118229
1 1.25 1 0.85 1 0.0552013 0.0128054
1 1.25 1 0.9 1 0.0464994 0.0135801
1 1.25 1 0.95 1 0.0369074 0.0145909
1 1.25 1 1 1 0.0265981 0.0155488
1 1.25 1 1.05 1 0.0146039 0.0170603
1 1.25 1 1.1 1 0.00119973 0.0182171
1 1.25 1 1.15 1 -0.0137325 0.0194707
1 1.25 1 1.2 1 -0.0313979 0.0208648

1.1 1.25 1 0 1 0.109474 -nan
1.1 1.25 1 0.05 1 0.109297 0.000629707
1.1 1.25 1 0.1 1 0.1088 0.00128721
1.1 1.25 1 0.15 1 0.107999 0.00194299
1.1 1.25 1 0.2 1 0.106755 0.0025632
1.1 1.25 1 0.25 1 0.105236 0.00316504
1.1 1.25 1 0.3 1 0.103374 0.00384317
1.1 1.25 1 0.35 1 0.101037 0.00456566
