sigma,init_a,final_awake_rate,replicate,worker_id
0.1,1.0047545726038207,0.5617480813351416,8,6
0.1,1.0047545726038207,0.6976110760457521,9,17
0.1,1.0047545726038207,1.118630682243396,10,10
0.1,1.2649110640673606,0.1344184440941304,1,3
0.1,1.2649110640673606,1.5741122597122146,2,11
0.1,1.2649110640673606,3.1445153923931186,3,16
0.1,1.2649110640673606,0.2836627485179645,4,7
0.1,1.2649110640673606,1.2268637098858641,5,9
0.1,1.2649110640673606,2.809133496853849,6,8
0.1,1.2649110640673606,21.537045683737848,7,13
0.1,1.2649110640673606,1.1479796266471827,8,2
0.1,1.2649110640673606,4.948626623312316,9,14
0.1,1.2649110640673606,4.630189974007823,10,12
0.1,1.5924286822139642,5.468125838899702,1,5
0.1,1.5924286822139642,0.5537338196556035,2,15
0.1,1.5924286822139642,0.8424015780932227,3,4
0.1,1.5924286822139642,0.18221597823652358,4,10
0.1,1.5924286822139642,1.3899359628853014,5,6
0.1,1.5924286822139642,3.5753717576512902,6,17
0.1,1.5924286822139642,0.44425595344516144,7,3
0.1,1.5924286822139642,0.22891549250162174,8,11
0.1,1.5924286822139642,0.5141271263801723,9,16
0.1,1.5924286822139642,0.3258719526568086,10,2
0.1,2.004748934509064,2.5558348660336043,1,13
0.1,2.004748934509064,0.5136637866963998,2,5
0.1,2.004748934509064,0.16926690389014074,3,8
0.1,2.004748934509064,0.7725060594445097,4,7
0.1,2.004748934509064,0.10962434699626038,5,9
0.1,2.004748934509064,1.1792251336368804,6,15
0.1,2.004748934509064,1.1402543116722816,7,14
0.1,2.004748934509064,0.5831081334950885,8,12
0.1,2.004748934509064,2.81742550947512,9,10
0.1,2.004748934509064,13.851700083150293,10,6
0.1,2.5238293779207317,0.9642772145628876,1,4
0.1,2.5238293779207317,0.21066378384493611,2,17
0.1,2.5238293779207317,8.869262848165713,3,2
0.1,2.5238293779207317,1.4744620173025706,4,5
0.1,2.5238293779207317,1.3566330336537213,5,15
0.1,2.5238293779207317,8.841553460898593,6,13
0.1,2.5238293779207317,10.721319386761968,7,3
0.1,2.5238293779207317,1.4182510916675435,8,11
0.1,2.5238293779207317,5.2448810661578635,9,16
0.1,2.5238293779207317,1.414962297385947,10,10
