alpha b d0 sigma tau Gmean Gstd
3.2 1.25 1 0.4 0.5 0.0586102 0.00209608
3.2 1.25 1 0.6 0.5 0.0651625 0.00325664
3.2 1.25 1 0.8 0.5 0.0739153 0.00432746
3.2 1.25 1 1 0.5 0.0857614 0.00547255

3.3 1.25 1 0 0.5 0.0522691 5.50978e-09
3.3 1.25 1 0.2 0.5 0.0535689 0.00102083
3.3 1.25 1 0.4 0.5 0.0574639 0.00201141
3.3 1.25 1 0.6 0.5 0.06373 0.00314599
3.3 1.25 1 0.8 0.5 0.0727099 0.00425284
3.3 1.25 1 1 0.5 0.0838485 0.00554623

3.4 1.25 1 0 0.5 0.0510702 -nan
3.4 1.25 1 0.2 0.5 0.0523815 0.00100983
3.4 1.25 1 0.4 0.5 0.0561687 0.0019786
3.4 1.25 1 0.6 0.5 0.062169 0.00297292
3.4 1.25 1 0.8 0.5 0.0711102 0.00427126
3.4 1.25 1 1 0.5 0.0822173 0.00539706

3.5 1.25 1 0 0.5 0.0499255 -nan
3.5 1.25 1 0.2 0.5 0.0511669 0.00100168
3.5 1.25 1 0.4 0.5 0.0549451 0.00191666
3.5 1.25 1 0.6 0.5 0.0610794 0.00304474
3.5 1.25 1 0.8 0.5 0.0696072 0.00406184
3.5 1.25 1 1 0.5 0.0810791 0.00500101

3.6 1.25 1 0 0.5 0.0488313 -nan
3.6 1.25 1 0.2 0.5 0.0500211 0.000948446
3.6 1.25 1 0.4 0.5 0.0537337 0.0019192
3.6 1.25 1 0.6 0.5 0.0597736 0.00285236
3.6 1.25 1 0.8 0.5 0.0682959 0.00404784
3.6 1.25 1 1 0.5 0.0791492 0.00518554

3.7 1.25 1 0 0.5 0.0477844 4.83929e-09
3.7 1.25 1 0.2 0.5 0.0489288 0.000945544
3.7 1.25 1 0.4 0.5 0.0525856 0.00189012
3.7 1.25 1 0.6 0.5 0.0587745 0.00292713
3.7 1.25 1 0.8 0.5 0.0669973 0.00389431
3.7 1.25 1 1 0.5 0.0780732 0.00504836

3.8 1.25 1 0 0.5 0.0467817 -nan
3.8 1.25 1 0.2 0.5 0.0479405 0.000905144
3.8 1.25 1 0.4 0.5 0.0515545 0.0019137
3.8 1.25 1 0.6 0.5 0.0574293 0.00277199
3.8 1.25 1 0.8 0.5 0.0658486 0.00379934
3.8 1.25 1 1 0.5 0.0767874 0.00509349

3.9 1.25 1 0 0.5 0.0458205 4.79428e-09
3.9 1.25 1 0.2 0.5 0.0469893 0.000893807
3.9 1.25 1 0.4 0.5 0.0505349 0.00178341
3.9 1.25 1 0.6 0.5 0.0563602 0.00271634
3.9 1.25 1 0.8 0.5 0.0648114 0.0037272
3.9 1.25 1 1 0.5 0.0751042 0.00500382

4 1.25 1 0 0.5 0.0448983 -nan
4 1.25 1 0.2 0.5 0.0460815 0.000837452
4 1.25 1 0.4 0.5 0.0494869 0.00181394
4 1.25 1 0.6 0.5 0.0551831 0.00269686
4 1.25 1 0.8 0.5 0.0634898 0.00383682
4 1.25 1 1 0.5 0.073788 0.00479079

4.1 1.25 1 0 0.5 0.0440127 3.32549e-09
4.1 1.25 1 0.2 0.5 0.0451704 0.000851041
4.1 1.25 1 0.4 0.5 0.0486595 0.00171712
4.1 1.25 1 0.6 0.5 0.0543106 0.00267302
4.1 1.25 1 0.8 0.5 0.0623975 0.00357315
4.1 1.25 1 1 0.5 0.0727577 0.00468743

4.2 1.25 1 0 0.5 0.0431616 7.16876e-09
4.2 1.25 1 0.2 0.5 0.0442611 0.00083724
4.2 1.25 1 0.4 0.5 0.0476299 0.00170293
4.2 1.25 1 0.6 0.5 0.0531932 0.00260679
4.2 1.25 1 0.8 0.5 0.0613651 0.00374577
4.2 1.25 1 1 0.5 0.0718174 0.00472271

4.3 1.25 1 0 0.5 0.042343 -nan
4.3 1.25 1 0.2 0.5 0.0434352 0.000836762
4.3 1.25 1 0.4 0.5 0.0468504 0.00174129
4.3 1.25 1 0.6 0.5 0.0523632 0.00262459
4.3 1.25 1 0.8 0.5 0.0603537 0.00365011
4.3 1.25 1 1 0.5 0.0704144 0.00463034

4.4 1.25 1 0 0.5 0.041555 6.1777e-09
4.4 1.25 1 0.2 0.5 0.0426575 0.000791558
4.4 1.25 1 0.4 0.5 0.0460027 0.00173155
4.4 1.25 1 0.6 0.5 0.0513739 0.00259673
4.4 1.25 1 0.8 0.5 0.059222 0.00347814
4.4 1.25 1 1 0.5 0.0691384 0.00449049

4.5 1.25 1 0 0.5 0.040796 6.40178e-09
4.5 1.25 1 0.2 0.5 0.0418993 0.000837908
4.5 1.25 1 0.4 0.5 0.0451272 0.0016241
4.5 1.25 1 0.6 0.5 0.050704 0.00245519
4.5 1.25 1 0.8 0.5 0.0583302 0.00354346
4.5 1.25 1 1 0.5 0.0682304 0.00449788

4.6 1.25 1 0 0.5 0.0401363 4.77161e-09
4.6 1.25 1 0.2 0.5 0.0412818 0.000813085
4.6 1.25 1 0.4 0.5 0.044401 0.00158787
4.6 1.25 1 0.6 0.5 0.0497418 0.00254167
4.6 1.25 1 0.8 0.5 0.0572559 0.00335892
4.6 1.25 1 1 0.5 0.0671748 0.00451557

4.7 1.25 1 0 0.5 0.0394281 2.46405e-09
4.7 1.25 1 0.2 0.5 0.0405083 0.000759177
4.7 1.25 1 0.4 0.5 0.0436685 0.00155817
4.7 1.25 1 0.6 0.5 0.0491576 0.00241146
4.7 1.25 1 0.8 0.5 0.056586 0.0033524
4.7 1.25 1 1 0.5 0.0660897 0.00437638

4.8 1.25 1 0 0.5 0.0387446 2.13393e-09
4.8 1.25 1 0.2 0.5 0.0398312 0.000769858
4.8 1.25 1 0.4 0.5 0.0428467 0.00161046
4.8 1.25 1 0.6 0.5 0.0482792 0.00236593
4.8 1.25 1 0.8 0.5 0.0555091 0.0033025
4.8 1.25 1 1 0.5 0.0654032 0.00437003

4.9 1.25 1 0 0.5 0.0380846 -nan
4.9 1.25 1 0.2 0.5 0.0391415 0.000764984
4.9 1.25 1 0.4 0.5 0.0422368 0.00160741
4.9 1.25 1 0.6 0.5 0.047519 0.0023066
4.9 1.25 1 0.8 0.5 0.0549683 0.00328978
4.9 1.25 1 1 0.5 0.064272 0.00448433

5 1.25 1 0 0.5 0.0374467 -nan
5 1.25 1 0.2 0.5 0.0384793 0.000749647
5 1.25 1 0.4 0.5 0.0415953 0.00151339
5 1.25 1 0.6 0.5 0.0467533 0.00231642
5 1.25 1 0.8 0.5 0.0538861 0.00324582
5 1.25 1 1 0.5 0.0632009 0.00421153

5.1 1.25 1 0 0.5 0.03683 -nan
5.1 1.25 1 0.2 0.5 0.0378518 0.000709887
5.1 1.25 1 0.4 0.5 0.0408527 0.0014683
5.1 1.25 1 0.6 0.5 0.0460772 0.00232044
5.1 1.25 1 0.8 0.5 0.0531118 0.00325703
5.1 1.25 1 1 0.5 0.0624535 0.00420748

5.2 1.25 1 0 0.5 0.0362334 -nan
5.2 1.25 1 0.2 0.5 0.0372317 0.000742803
5.2 1.25 1 0.4 0.5 0.0401885 0.00143168
5.2 1.25 1 0.6 0.5 0.0453374 0.00233098
5.2 1.25 1 0.8 0.5 0.0524051 0.00315148
5.2 1.25 1 1 0.5 0.0615687 0.00413854

5.3 1.25 1 0 0.5 0.035656 -nan
5.3 1.25 1 0.2 0.5 0.036668 0.000727648
5.3 1.25 1 0.4 0.5 0.0397586 0.00148027
5.3 1.25 1 0.6 0.5 0.0446789 0.00222894
5.3 1.25 1 0.8 0.5 0.051373 0.00312531
5.3 1.25 1 1 0.5 0.060772 0.0038959

5.4 1.25 1 0 0.5 0.0350967 -nan
5.4 1.25 1 0.2 0.5 0.0361252 0.000716511
5.4 1.25 1 0.4 0.5 0.0390928 0.00145853
5.4 1.25 1 0.6 0.5 0.0439823 0.00225577
5.4 1.25 1 0.8 0.5 0.0508431 0.00299423
5.4 1.25 1 1 0.5 0.0598519 0.00411309

5.5 1.25 1 0 0.5 0.0345548 3.48469e-09
5.5 1.25 1 0.2 0.5 0.035531 0.000707492
5.5 1.25 1 0.4 0.5 0.0384454 0.00142997
5.5 1.25 1 0.6 0.5 0.0432733 0.00209264
5.5 1.25 1 0.8 0.5 0.0500875 0.00304034
5.5 1.25 1 1 0.5 0.0590624 0.00407928

5.6 1.25 1 0 0.5 0.0340295 -nan
5.6 1.25 1 0.2 0.5 0.035046 0.000680476
5.6 1.25 1 0.4 0.5 0.0378835 0.0014122
5.6 1.25 1 0.6 0.5 0.0427985 0.00212687
5.6 1.25 1 0.8 0.5 0.0494957 0.00300795
5.6 1.25 1 1 0.5 0.0582544 0.00392674

5.7 1.25 1 0 0.5 0.03352 -nan
5.7 1.25 1 0.2 0.5 0.0344394 0.000678374
5.7 1.25 1 0.4 0.5 0.0372818 0.00136477
5.7 1.25 1 0.6 0.5 0.0421833 0.00214294
5.7 1.25 1 0.8 0.5 0.04876 0.00307051
5.7 1.25 1 1 0.5 0.0575311 0.00392795

5.8 1.25 1 0 0.5 0.0330256 -nan
5.8 1.25 1 0.2 0.5 0.03394 0.000671978
5.8 1.25 1 0.4 0.5 0.0367903 0.00133934
5.8 1.25 1 0.6 0.5 0.0414986 0.00216224
5.8 1.25 1 0.8 0.5 0.0482502 0.00300643
5.8 1.25 1 1 0.5 0.0568099 0.0038929

5.9 1.25 1 0 0.5 0.0325457 6.51926e-09
5.9 1.25 1 0.2 0.5 0.0334528 0.000659911
5.9 1.25 1 0.4 0.5 0.0362487 0.00135411
5.9 1.25 1 0.6 0.5 0.0409598 0.0020163
5.9 1.25 1 0.8 0.5 0.0474777 0.00282881
5.9 1.25 1 1 0.5 0.0559338 0.00373687

6 1.25 1 0 0.5 0.0320796 -nan
6 1.25 1 0.2 0.5 0.0330012 0.000650258
6 1.25 1 0.4 0.5 0.0357129 0.0013323
6 1.25 1 0.6 0.5 0.0404541 0.00207204
6 1.25 1 0.8 0.5 0.0468802 0.00286561
6 1.25 1 1 0.5 0.0553774 0.00363497

6.1 1.25 1 0 0.5 0.0316268 -nan
6.1 1.25 1 0.2 0.5 0.0325249 0.00065324
6.1 1.25 1 0.4 0.5 0.0353198 0.00134645
6.1 1.25 1 0.6 0.5 0.0398864 0.00203225
6.1 1.25 1 0.8 0.5 0.0462913 0.00287984
6.1 1.25 1 1 0.5 0.0546824 0.00381774

6.2 1.25 1 0 0.5 0.0311866 6.50261e-09
6.2 1.25 1 0.2 0.5 0.0320952 0.000628577
6.2 1.25 1 0.4 0.5 0.0347706 0.00128845
6.2 1.25 1 0.6 0.5 0.0393892 0.00198825
6.2 1.25 1 0.8 0.5 0.0456722 0.00278753
6.2 1.25 1 1 0.5 0.0538781 0.0036755

6.3 1.25 1 0 0.5 0.0307585 4.45431e-09
6.3 1.25 1 0.2 0.5 0.0316696 0.000629746
6.3 1.25 1 0.4 0.5 0.0343458 0.00129574
6.3 1.25 1 0.6 0.5 0.0388764 0.00198691
6.3 1.25 1 0.8 0.5 0.0450771 0.00266507
6.3 1.25 1 1 0.5 0.0535555 0.00372362

6.4 1.25 1 0 0.5 0.0303422 -nan
6.4 1.25 1 0.2 0.5 0.0312363 0.000635173
6.4 1.25 1 0.4 0.5 0.0338383 0.00131603
6.4 1.25 1 0.6 0.5 0.0383383 0.00201863
6.4 1.25 1 0.8 0.5 0.0446153 0.00271738
6.4 1.25 1 1 0.5 0.052988 0.00362596

6.5 1.25 1 0 0.5 0.029937 4.7374e-09
