1  4.7 2.91486e-05 0.00336588
1  4.8 2.58264e-05 0.00309548
1  4.9 3.08041e-05 0.00318659
1  5 3.05952e-05 0.00335899

1.2  0.1 0.183966 0.0489968
1.2  0.2 0.167204 0.0670051
1.2  0.3 0.150221 0.0786872
1.2  0.4 0.133823 0.0864878
1.2  0.5 0.11667 0.0908276
1.2  0.6 0.101584 0.0929918
1.2  0.7 0.0871937 0.0933936
1.2  0.8 0.0731936 0.091646
1.2  0.9 0.0618781 0.0890692
1.2  1 0.0498043 0.0843004
1.2  1.1 0.0395495 0.0782619
1.2  1.2 0.0306125 0.0715042
1.2  1.3 0.0226408 0.0638158
1.2  1.4 0.0152199 0.0538744
1.2  1.5 0.0094938 0.0434226
1.2  1.6 0.00580475 0.0348791
1.2  1.7 0.00338795 0.0269878
1.2  1.8 0.00183825 0.0200418
1.2  1.9 0.000997359 0.0148388
1.2  2 0.000937087 0.0148762
1.2  2.1 0.000362893 0.00945111
1.2  2.2 0.000188988 0.00662123
1.2  2.3 0.000112786 0.00534196
1.2  2.4 0.000103486 0.00520485
1.2  2.5 7.87774e-05 0.00452469
1.2  2.6 5.23505e-05 0.00382704
1.2  2.7 2.33075e-07 9.32155e-05
1.2  2.8 2.39987e-05 0.00229888
1.2  2.9 7.7133e-06 0.00119643
1.2  3 4.26819e-05 0.00332844
1.2  3.1 3.04306e-06 0.00103459
1.2  3.2 1.06068e-05 0.00195861
1.2  3.3 1.55408e-06 0.000510522
1.2  3.4 1.69037e-05 0.00237267
1.2  3.5 6.31667e-06 0.00156636
1.2  3.6 2.26519e-05 0.00254874
1.2  3.7 6.8195e-12 2.94991e-09
1.2  3.8 1.11386e-08 5.66308e-06
1.2  3.9 2.55176e-05 0.0028123
1.2  4 5.68052e-06 0.0012733
1.2  4.1 4.43628e-13 3.15944e-10
1.2  4.2 6.65265e-07 0.000280872
1.2  4.3 8.40167e-06 0.00172103
1.2  4.4 3.40557e-06 0.00120305
1.2  4.5 1.84084e-05 0.00266734
